00:00.578  blend            | Read blend: "D:\Users\yaoni\Desktop\zhihu-hackathon\art\blender\characters\shen-qingwu\v048_rigged.blend"
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Pants_R_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Shirt_Button_0_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Shirt_Button_1_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Shirt_Button_2_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Shirt_Button_3_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Shirt_Collar_L_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Shirt_Collar_R_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Shoe_Bit_L_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Shoe_Bit_R_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Shoe_Heel_L_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Shoe_Heel_R_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Shoe_Instep_L_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Shoe_Instep_R_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Shoe_Sole_L_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Shoe_Sole_R_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Shoe_Upper_L_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Shoe_Upper_R_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Shoe_VampSeam_L_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Shoe_VampSeam_R_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_ShoulderCap_L_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_ShoulderCap_R_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Sleeve_L_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_Sleeve_R_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_UpperLash_L_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_UpperLash_R_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_WaistBelt_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_WatchFace_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:57 | INFO: Extracting primitive: CHR_ShenQingwu_WatchStrap_Geometry
22:33:57 | INFO: Primitives created: 1
22:33:58 | INFO: Finished glTF 2.0 export in 1.648545265197754 s

Info: Saved as "v049_rigged.blend"
SAVED_STAGE D:\Users\yaoni\Desktop\zhihu-hackathon\art\blender\characters\shen-qingwu\v049_rigged.blend
Blender 5.2.1 LTS (hash 9e2066aef7ef built 2026-08-25 02:38:20)

Blender quit
